State,2019,2018,2017,2016,2015,5-Year total,Overdose Rate 2019,Overdose Rate 2018,Overdose Rate 2017,Overdose Rate 2016,Overdose Rate 2015,Poverty Rate 2019,Poverty Rate 2018,Poverty Rate 2017,Poverty Rate 2016,Poverty Rate 2015,Latitude,Longitude
Alabama,768.0,775.0,835.0,756.0,736.0,3870.0,0.01574980774160472,0.025930468869719298,0.027961771068441037,0.02529111545862561,0.024631193063374118,16.323793899000258,20.06834267833973,20.762268017761585,21.59623737785997,21.80479712564686,63.588753000000004,-154.493062
Alaska,132.0,110.0,147.0,128.0,122.0,639.0,0.017908795389299223,0.0018062213488138545,0.0024196335983408227,0.0021123328719756303,0.0020180472977354203,10.437707240037554,13.758973225559936,14.183316050236202,14.815292167816265,15.151432945912363,32.318231,-86.902298
Arizona,1907.0,1670.0,1532.0,1382.0,1274.0,7765.0,0.02704849822681279,0.160309945360227,0.14875779473366335,0.13504125011847867,0.1255544747752782,14.804535240278462,13.349210737502544,14.001681778723752,14.527878396429127,14.840460077323423,35.20105,-91.83183299999999
Arkansas,388.0,444.0,446.0,401.0,392.0,2071.0,0.012936049903813134,0.023310023310023312,0.023549028708166813,0.021315512643394662,0.020969687567703472,16.545474549655427,11.223986223986223,11.633536984911197,12.067503730214712,12.363289138290275,34.048928000000004,-111.093731
California,6198.0,5348.0,4868.0,4654.0,4659.0,25727.0,0.015777617761473732,0.18297216175040174,0.1685756088270178,0.16392103049762394,0.1664739537403221,13.109174063602332,13.460531146152265,14.033988693521717,14.69643262190526,15.233742437387356,36.778261,-119.41793200000001
Colorado,1079.0,995.0,1015.0,942.0,869.0,4900.0,0.019232315137614434,0.07405356566058013,0.07620989782617836,0.0709602916151602,0.0656244784590859,10.086235276985443,7.6176186457203,7.843988202857984,8.262881515145352,8.596882195376685,39.550051,-105.782067
Connecticut,1214.0,1069.0,1072.0,971.0,800.0,5126.0,0.1268218894163268,0.012035787609443759,0.011964070734889698,0.010891198386263137,0.0089843092408225,11.42859530654543,10.179551658467357,10.471374342492282,10.648260728335153,10.610997041579271,41.603221000000005,-73.087749
Delaware,435.0,401.0,338.0,282.0,198.0,1654.0,0.0121675803074286,0.002043993988720721,0.006967964474101128,0.0014316568885008863,0.0010064466465858535,9.626262281563962,14.262006285612836,17.51678238366643,15.065721427898028,15.279400263526364,38.910832,-75.52767
Florida,5268.0,4698.0,5088.0,4728.0,3228.0,23010.0,0.02520376873848535,0.0462600820983526,0.6889034817517754,0.04756143049653409,0.032787108369010984,13.733312550271185,15.005961228970273,9.935482997434214,16.414165902478143,16.936603363238195,27.664827000000002,-81.515754
Georgia,1408.0,1404.0,1537.0,1394.0,1302.0,7045.0,0.013533455461234677,0.18665223789917854,0.022569929335709855,0.18936049402169633,0.1804223712654509,14.69223836144457,10.538406622697922,16.564683479134782,10.773987247372181,11.052325259131978,32.157435,-82.907123
Hawaii,242.0,213.0,203.0,191.0,169.0,1018.0,0.014088196769029254,0.0018296015617410212,0.006816783660135987,0.001648407461468907,0.001459919970469879,12.880570513753456,14.13849087419651,17.603118124450962,14.955103335729422,15.34070083242218,19.898682,-155.66585700000002
Idaho,265.0,250.0,236.0,243.0,218.0,1212.0,0.01863449251596589,0.006380583425235004,0.0006053944700344744,0.006270014699701129,0.005662730376366361,9.187086085729916,15.51272964676835,14.81012405276608,16.027370291328623,16.21003326724217,41.878003,-93.097702
Illinois,2790.0,2722.0,2778.0,2411.0,1835.0,12536.0,0.021847001921831425,0.06668392968740622,0.014031558783947736,0.06054340404598687,0.046582672312097305,12.198872553752434,13.847498605443535,14.690562205870142,15.423953240704353,16.16931519409997,44.068202,-114.74204099999999
Indiana,1699.0,1629.0,1852.0,1526.0,1245.0,7951.0,0.02548868438932848,0.012735336948167648,0.018423160499152255,0.011936817470807402,0.009742120209312387,13.021822304414103,12.344043915882358,15.716099892524932,12.88927537964125,13.040896012139386,40.633125,-89.398528
Iowa,352.0,287.0,341.0,314.0,309.0,1603.0,0.011211947859346115,0.027162314229172323,0.0457426473054093,0.029777399712278243,0.02932632032503813,11.088425320145705,12.592619232622035,10.647439551963513,13.291815672205832,13.687799016951372,40.551217,-85.602364
Kansas,403.0,345.0,333.0,313.0,329.0,1723.0,0.013845695053891705,0.006961364427427775,0.0028682773350275407,0.006474158695488049,0.006886337339269957,11.603551369246478,15.549710699818904,14.504094659698275,16.680204484130556,17.391685658166402,39.011902,-98.484246
Kentucky,1380.0,1315.0,1566.0,1419.0,1273.0,6953.0,0.031017843801331157,0.15214818191600263,0.04019248246583703,0.16673364212544856,0.1509742762603921,16.790318476835065,13.090991554908138,15.725732248769393,13.5478428027232,13.627652130599271,37.839333,-84.27001800000001
Louisiana,1267.0,1140.0,1108.0,996.0,861.0,5372.0,0.02716341484644631,0.01714005029853006,0.02752708175419061,0.015210730467841445,0.013246938472509526,18.683519846872947,15.734385752468505,14.589552081213835,16.80158044987415,17.194772305744262,31.244822999999997,-92.14502399999999
Maine,371.0,345.0,424.0,353.0,269.0,1762.0,0.02778002414091586,0.0012372156622896128,0.0033149590262464227,0.0013095203427307802,0.0010136173652474842,11.466261123241472,15.111739401499612,12.693298661780752,16.312642973746343,16.852617095979465,42.407211,-71.382437
Maryland,2369.0,2324.0,2247.0,2044.0,1285.0,10269.0,0.03935969142267756,0.37185368421557913,0.2127562875306068,0.32638774672694093,0.20507369885924762,8.971667003386695,10.725834710717354,12.889035334397589,11.12544690690125,11.048924041340305,39.045755,-76.641271
Massachusetts,2210.0,2241.0,2168.0,2227.0,1724.0,10570.0,0.03226016936150994,0.07358760076838458,0.044304175137183543,0.07553180051600396,0.05937908898562675,9.940248619345036,10.176301574531664,16.157475185166113,11.49114426099069,12.110062103500782,45.253783,-69.44546899999999
Michigan,2385.0,2591.0,2694.0,2347.0,1980.0,11997.0,0.023933131733074837,0.03079474205035695,0.3149241797242134,0.028242057658320677,0.02398072821478012,14.034017158600399,10.620442146413726,13.429867998372774,11.090621145972932,11.164627699194465,44.314844,-85.602364
Minnesota,792.0,636.0,733.0,672.0,581.0,3414.0,0.014235955205632261,0.008719093828417008,0.011110469442343862,0.009500722874941362,0.00831727140816988,9.455855776831989,11.263821683015424,16.25432880108031,12.48745607682918,13.005750226470282,46.729553,-94.6859
Mississippi,394.0,310.0,354.0,352.0,351.0,1761.0,0.013201904022827903,0.01694865214476992,0.0012910467150301032,0.019067305421398284,0.018958421103801408,19.628148603848388,17.247385807089348,15.650783096420183,17.22882716571005,17.466809259919412,37.964253,-91.83183299999999
Missouri,1583.0,1610.0,1367.0,1371.0,1066.0,6997.0,0.025929948189244396,0.02786241298187697,0.21884745675881634,0.023823599021199352,0.018564581669095213,13.268745976599163,11.564112796739025,10.909393630850607,12.397863487128479,12.61465065933,32.354668,-89.398528
Montana,143.0,125.0,119.0,119.0,138.0,644.0,0.013610634950397325,0.021483717061165003,0.003974694224101277,0.020410648526917187,0.02380627899233886,12.811605017470153,10.88124488687534,10.850447620711297,11.279370322917043,11.212239877587423,46.879682,-110.36256599999999
Nebraska,161.0,138.0,152.0,120.0,126.0,697.0,0.00840919454018681,0.004074473101243866,0.001816888263284322,0.0034000257835288586,0.0035165345500914992,10.789832291411496,44.144849290259266,10.839627098027815,44.68413052132312,45.104216408652576,35.759572999999996,-79.0193
Nevada,647.0,688.0,676.0,665.0,619.0,3295.0,0.02176705416733112,0.014142759647088811,0.009428216336281603,0.013736365882254764,0.012814090116796602,12.942145390464617,17.049425655952703,11.993779050865925,17.943329331540927,18.367414534780213,47.551493,-101.002012
New Hampshire,407.0,452.0,467.0,481.0,422.0,2229.0,0.03019010120730734,0.0612038195516414,0.025424056383697463,0.06527742907356264,0.05754218510311914,7.319949796902955,10.543441171213622,17.262716519593674,9.88335561270535,9.948116584284984,41.492537,-99.901813
New Jersey,2805.0,2900.0,2685.0,2056.0,1454.0,11900.0,0.031593163847554034,0.04174653089927066,0.04658856329720015,0.030556237968295527,0.02189123399109415,9.788598370693798,15.72249209515042,12.019658465055194,17.323662937943638,17.776314347279886,43.193852,-71.572395
New Mexico,599.0,537.0,493.0,500.0,501.0,2630.0,0.02862667470826121,0.017955836666754717,0.08453360768175583,0.016843682541051425,0.016935928778503744,18.737090516685193,17.06429761080373,10.87071330589849,18.27307112885013,18.71551966595993,40.058324,-74.405661
New York,3617.0,3697.0,3921.0,3638.0,2754.0,17627.0,0.018480181117015312,0.009443466408642317,0.11303089712977625,0.00941165367618727,0.007167868460191938,13.699332204834798,14.016129757366517,44.48649351405593,15.533256587911804,15.968006841176068,34.97273,-105.03236299999999
North Carolina,2266.0,2259.0,2414.0,1956.0,1567.0,10462.0,0.022075278844089302,0.04084148279712992,0.25579295817032804,0.03649733780282668,0.02968418077533489,14.29721118891256,10.675988914403014,11.79402627016992,11.903394009846444,12.388343342351616,38.802609999999994,-116.419389
North Dakota,82.0,70.0,68.0,77.0,61.0,358.0,0.010836283577612238,0.007372340033386168,0.010113163323125979,0.008237981373603154,0.006584244873463766,10.333850039050265,11.563831299796208,16.51196996985385,11.70948812179374,11.691352188020128,43.299428000000006,-74.217933
Ohio,4251.0,3980.0,5111.0,4329.0,3310.0,20981.0,0.036472374128483136,0.5814480100745364,0.14219032638397008,0.6568954293492199,0.5112095434018447,13.627532378347988,15.996686622897364,9.758941353932338,17.00432012309392,17.045208839137338,40.417287,-82.907123
Oklahoma,645.0,716.0,775.0,813.0,725.0,3674.0,0.016400236977067637,0.01999160129375815,0.003821791678623121,0.02265526379588527,0.0201768774654057,15.214665117331618,9.72912497096192,15.144019657915619,10.044781068782273,10.195612739763922,35.007752,-97.092877
Oregon,615.0,547.0,530.0,506.0,505.0,2703.0,0.01489175149516817,0.002655579710380632,0.00519524566405287,0.002538319214308937,0.0025705276433015713,12.918945528394454,14.486022256670857,16.458440240216397,15.747902964571233,16.187243748934886,43.804133,-120.554201
Pennsylvania,4377.0,4415.0,5388.0,4627.0,3264.0,22071.0,0.034217955162517695,0.04287455071549516,0.3250923900746663,0.04581496576007098,0.03261816865971605,12.032829536419802,15.61268752638994,14.239384568972019,17.297144758260952,17.877504586180468,41.203322,-77.194525
Rhode Island,307.0,317.0,320.0,326.0,310.0,1580.0,0.029038119389234708,0.018781746038799414,0.022508929714460158,0.01993294947119597,0.01917667720146708,11.901467134429467,13.560894627294912,10.06908834614232,14.954909344823516,15.166710278142238,41.580095,-71.477429
South Carolina,1127.0,1125.0,1008.0,879.0,761.0,4900.0,0.022446595227937505,0.07911231064907959,0.007841596026177861,0.06217845286710576,0.054113669994787734,14.771532698136514,9.670407565527848,13.214123959140927,10.509997715171755,10.946747455555327,33.836081,-81.163725
South Dakota,86.0,57.0,73.0,69.0,65.0,350.0,0.009877813741187496,0.00044456587245623503,0.0011036496332708335,0.0005368946201914084,0.0005049029572632271,12.697929564296528,12.75672411731641,14.113713406077451,13.645923755984041,13.990612378154294,43.969515,-99.901813
Tennessee,2089.0,1823.0,1776.0,1630.0,1457.0,8775.0,0.03113562613162873,0.027465466281657983,0.05695772620651922,0.024736030137286483,0.022181134769804125,14.858803139973494,13.685410579342053,11.588556115226506,14.533464813680027,14.889570071148617,35.517491,-86.58044699999999
Texas,3136.0,3005.0,2989.0,2831.0,2588.0,14549.0,0.011096620710993325,0.09592979917950492,0.10293337741320054,0.0911288876642517,0.0836585824719107,14.409308762622052,11.28919753845093,12.441714706834446,11.904632379757992,12.085982144646595,31.968598999999998,-99.901813
Utah,571.0,624.0,650.0,635.0,646.0,3126.0,0.09146053341833343,0.021452322213879653,0.014691337264283144,0.02190945563801025,0.022329861834844058,10.51587905425644,12.04217856582975,17.710655694723958,12.875238243765638,13.181981115020566,39.32098,-111.093731
Vermont,133.0,153.0,134.0,125.0,99.0,644.0,0.004294689309904781,0.0034457876259739416,0.0028734023936299673,0.0028331892939896268,0.0022513543943367747,9.64002753767702,17.38839026315007,19.03251683674421,18.226224045436197,18.325592691785264,37.431573,-78.656894
Virginia,1547.0,1448.0,1507.0,1405.0,1039.0,6946.0,0.018298027917326033,0.031048868517476565,0.11329481159381065,0.030243215725611162,0.02246363604326077,10.239455776197731,18.835041307002978,12.547682305410335,19.148368265503144,19.20500348845782,44.558803000000005,-72.577841
Washington,1259.0,1164.0,1169.0,1102.0,1094.0,5788.0,0.0170040762511941,0.0873340821255495,0.019496074017703903,0.08286194012736076,0.08231133849973667,10.605519342170501,12.13546086360202,9.455612576151848,13.113917121517561,13.563915431494996,47.751073999999996,-120.74013899999999
West Virginia,870.0,856.0,974.0,884.0,725.0,4309.0,0.047873086796107425,0.014258503673313693,0.01434606327968976,0.014832458654521501,0.012224860543849478,17.06064749725555,9.219655080799576,10.71603794136054,9.678598742059853,9.726014739303585,43.784440000000004,-88.787868
Wisconsin,1201.0,1079.0,1177.0,1074.0,878.0,5409.0,0.020740095007249538,0.01579750381870615,0.011858263426334897,0.015929653227467883,0.013093561099656315,11.037667880794016,10.399486515241955,15.221708218612779,10.988138341177278,11.168375142754115,38.597626,-80.454903
Wyoming,79.0,66.0,69.0,99.0,96.0,409.0,0.01359668447430743,0.0006628177709076827,0.0012566644192407344,0.0009990312424315814,0.0009696410439357487,10.715047915404528,14.632284769010015,10.217137041622546,15.894344877694357,16.331078278212438,43.075967999999996,-107.29028400000001
